id,path,filename,extension,size
1,ROM/0001/Donkey Kong (J) [!].nes,Donkey Kong (J) [!].nes,nes,24592
2,ROM/0001/Donkey Kong (J).fds,Donkey Kong (J).fds,fds,65516
3,ROM/0001/Donkey Kong (W) [!].nes,Donkey Kong (W) [!].nes,nes,24592
4,ROM/0002/Donkey Kong Jr. (J) [!].nes,Donkey Kong Jr. (J) [!].nes,nes,24592
5,ROM/0002/Donkey Kong Jr. (J).fds,Donkey Kong Jr. (J).fds,fds,65516
6,ROM/0002/Donkey Kong Jr. (W) [!].nes,Donkey Kong Jr. (W) [!].nes,nes,24592
7,ROM/0003/Popeye (J) [!].nes,Popeye (J) [!].nes,nes,24592
8,ROM/0003/Popeye (W) [!].nes,Popeye (W) [!].nes,nes,24592
9,ROM/0004/Gomoku Narabe (J) (Proto).fds,Gomoku Narabe (J) (Proto).fds,fds,65516
10,ROM/0004/Gomoku Narabe (J) [!].nes,Gomoku Narabe (J) [!].nes,nes,24592
11,ROM/0005/Mahjong (J) (REVA) [!].nes,Mahjong (J) (REVA) [!].nes,nes,24592
12,ROM/0005/Mahjong (J) (REVB) [!].nes,Mahjong (J) (REVB) [!].nes,nes,24592
13,ROM/0005/Mahjong (J).fds,Mahjong (J).fds,fds,65516
14,ROM/0006/Mario Bros. (E) (PRG0) [!].nes,Mario Bros. (E) (PRG0) [!].nes,nes,40976
15,ROM/0006/Mario Bros. (E) (PRG1) [!].nes,Mario Bros. (E) (PRG1) [!].nes,nes,24592
16,ROM/0006/Mario Bros. (W) [!].nes,Mario Bros. (W) [!].nes,nes,24592
17,ROM/0006/Mario Bros. (W) [HL].nes,Mario Bros. (W) [HL].nes,nes,24576
18,ROM/0007/Popeye no Eigo Asobi (J) [!].nes,Popeye no Eigo Asobi (J) [!].nes,nes,24592
19,ROM/0008/Baseball (J) [!].nes,Baseball (J) [!].nes,nes,24592
20,ROM/0008/Baseball (J).fds,Baseball (J).fds,fds,65516
21,ROM/0008/Baseball (U) [!].nes,Baseball (U) [!].nes,nes,24592
22,ROM/0009/Donkey Kong Jr. Math (UE) [!].nes,Donkey Kong Jr. Math (UE) [!].nes,nes,24592
23,ROM/0009/Donkey Kong Jr. no Sansuu Asobi (J) [!].nes,Donkey Kong Jr. no Sansuu Asobi (J) [!].nes,nes,24592
24,ROM/0010/Tennis (E) [!].nes,Tennis (E) [!].nes,nes,24592
25,ROM/0010/Tennis (J).fds,Tennis (J).fds,fds,65516
26,ROM/0010/Tennis (JU) [!].nes,Tennis (JU) [!].nes,nes,24592
27,ROM/0011/Pinball (E) [!].nes,Pinball (E) [!].nes,nes,24592
28,ROM/0011/Pinball (J).fds,Pinball (J).fds,fds,65516
29,ROM/0011/Pinball (JU) [!].nes,Pinball (JU) [!].nes,nes,24592
30,ROM/0012/Wild Gunman (W) (PRG0) [!].nes,Wild Gunman (W) (PRG0) [!].nes,nes,24592
31,ROM/0012/Wild Gunman (W) (PRG1) [!].nes,Wild Gunman (W) (PRG1) [!].nes,nes,24592
32,ROM/0013/Duck Hunt (W) [!].nes,Duck Hunt (W) [!].nes,nes,24592
33,ROM/0014/Golf (E) [!].nes,Golf (E) [!].nes,nes,24592
34,ROM/0014/Golf (J) (PRG0).fds,Golf (J) (PRG0).fds,fds,65516
35,ROM/0014/Golf (J) (PRG1).fds,Golf (J) (PRG1).fds,fds,65516
36,ROM/0014/Golf (J) (PRG2) (Possible Proto).fds,Golf (J) (PRG2) (Possible Proto).fds,fds,65516
37,ROM/0014/Golf (J) [!].nes,Golf (J) [!].nes,nes,24592
